Team,Average_Attendance,Total_Team_salary,Total_Twitter_Activity
"Chicago Bulls",21680,84.65,1409.5
"Dallas Mavericks",19789,59.36000000000001,2092
"Sacramento Kings",17608,35.88,1070
"Miami Heat",19643,48.26,394
"Toronto Raptors",19830,52.39000000000001,323.5
"Los Angeles Clippers",19088,80.02000000000001,2135
"Cleveland Cavaliers",20562,102.57000000000001,10923
"Golden State Warriors",19596,88.91,19155.5
"Oklahoma City Thunder",18203,72.53999999999999,3409.5
"New York Knicks",19774,93.43,6160.5
"Boston Celtics",18553,92.13999999999999,1228
"Los Angeles Lakers",18949,75.00999999999999,1017
"Portland Trail Blazers",19317,90.63000000000002,552
"San Antonio Spurs",18423,98.37,5218
"Utah Jazz",19673,77.66000000000001,1804.5
"Orlando Magic",17753,68.41,774
"New Orleans Pelicans",16173,62.5,542.5
"Houston Rockets",16973,67.16,1548.5
"Phoenix Suns",17283,55.400000000000006,1619
"Indiana Pacers",16697,76.28999999999999,489.5
"Memphis Grizzlies",16519,101.78,661
"Charlotte Hornets",17332,88.06000000000002,588
"Philadelphia 76ers",17330,46.5,10228.5
"Atlanta Hawks",15958,80.26999999999998,333.5
"Brooklyn Nets",15429,62.750000000000014,1315
"Milwaukee Bucks",15828,81.49999999999999,699.5
"Washington Wizards",17002,70.72,315.5
"Denver Nuggets",14770,71.14999999999999,399.5
"Minnesota Timberwolves",14809,47.81999999999999,1180
"Detroit Pistons",15979,64.38,164
