player,Twitter_Favorite_Count,Twitter_Retweet_Count,Salary_Ten_Thousands
Russell Westbrook,2130.5,559,26.5
James Harden,969,321.5,26.5
Isaiah Thomas,467.5,155.5,6.59
Anthony Davis,368,104,22.12
DeMarcus Cousins,102,91.5,16.96
Damian Lillard,186.5,43,24.33
LeBron James,5533.5,1501.5,30.96
Kawhi Leonard,2701.5,716.5,17.64
Stephen Curry,12278,2893,12.11
Kyrie Irving,1541,695,17.64
Kevin Durant,1425.5,366,26.5
Karl-Anthony Towns,0,105,5.96
Jimmy Butler,89.5,30,17.55
Paul George,228.5,128,18.31
Andrew Wiggins,182,54.5,6.01
Kemba Walker,59.5,32.5,12
Bradley Beal,55.5,40.5,22.12
John Wall,0,77,16.96
Carmelo Anthony,720.5,220,24.56
Klay Thompson,797,225,16.66
Devin Booker,1170.5,335.5,2.22
Gordon Hayward,319,50.5,16.07
Blake Griffin,269,98.5,20.14
Eric Bledsoe,9,30.5,14
Mike Conley,257.5,90,26.54
Goran Dragic,62.5,45,15.89
Joel Embiid,6852.5,2941,4.83
Jabari Parker,267,125,5.37
Marc Gasol,0,75.5,21.17
Kevin Love,866.5,194.5,21.17
Zach LaVine,178.5,67,2.24
Dwyane Wade,349.5,149.5,23.2
Danilo Gallinari,29,6,15.05
Paul Millsap,60,32,20.07
Chris Paul,829,178.5,22.87
Kristaps Porzingis,485,214,4.32
Derrick Rose,1864,2504.5,21.32
Dennis Schroder,51.5,20,2.71
LaMarcus Aldridge,195,63,20.58
Evan Fournier,21,10,17
George Hill,33.5,3,8
Nikola Jokic,0,1,1.36
Eric Gordon,55,26,12.39
Tobias Harris,2,4,17.2
Victor Oladipo,78,28,6.55
Dion Waiters,0,7,2.9
Wilson Chandler,31.5,18.5,11.23
D'Angelo Russell,0,232,5.33
Jrue Holiday,0,39,11.29
Jeff Teague,17.5,13.5,8.8
Nicolas Batum,114.5,66,20.87
Gary Harris,6,2.5,1.66
Jordan Clarkson,55.5,179.5,12.5
Khris Middleton,16,9,15.2
Nikola Vucevic,5.5,35.5,11.75
Reggie Jackson,37,9.5,14.96
Jeremy Lin,936.5,197.5,11.48
Myles Turner,53,31,2.46
Enes Kanter,147,195,17.15
Dirk Nowitzki,1564,500.5,25
Zach Randolph,47,18.5,10.36
Rudy Gobert,731,225.5,2.12
Al Horford,136,71,26.54
Marcus Morris,6,23,4.62
Markieff Morris,9,18,7.4
Jae Crowder,55,47,6.29
Kentavious Caldwell-Pope,9,10,3.68
Will Barton,1,3,3.53
Tyler Johnson,3,6,5.63
Dwight Howard,7,1,23.18
Darren Collison,4,7,5.23
Julius Randle,102,59,3.27
Nick Young,45.5,14,5.44
James Johnson,13,7,4
Elfrid Payton,19,8,2.61
Aaron Gordon,42.5,16,4.35
Pau Gasol,882.5,148.5,15.5
Jamal Crawford,49,32,13.25
Austin Rivers,75.5,23,11
Jonas Valanciunas,65,40,14.38
Trevor Ariza,10,15,7.81
Frank Kaminsky,112.5,29,2.73
Greg Monroe,9,7,17.15
Steven Adams,36,99,3.14
Ricky Rubio,262.5,76,13.55
Jerryd Bayless,2,5,9.42
Emmanuel Mudiay,69,21,3.24
Terrence Ross,0,0,10
Thaddeus Young,0,1.5,14.15
J.J. Barea,0,17.5,4.1
Justise Winslow,88.5,33.5,2.59
Taj Gibson,52,17,8.95
Marcin Gortat,1,1,12
Courtney Lee,2,1,11.24
Allen Crabbe,11.5,9,18.5
Buddy Hield,512,333,3.52
Nikola Mirotic,119,50.5,5.78
Marcus Smart,1,9,3.58
Marco Belinelli,0,15,6.33
Wayne Ellington,18,12,6
Tyreke Evans,6,9,10.2
Cody Zeller,90,29,5.32
Draymond Green,627,168.5,15.33
Jusuf Nurkic,45,43.5,1.92
Josh Richardson,42,10,1.47
Kyle Korver,107.5,30.5,5.24
Trevor Booker,16.5,8,9.25
Maurice Harkless,0,14.5,8.99
Jamal Murray,0,62.5,3.21
Kenneth Faried,14,8,12.08
E'Twaun Moore,0,10,8.08
Derrick Favors,25,6.5,11.05
Patty Mills,112,19,3.58
Nik Stauskas,28,11,2.99
Michael Beasley,8,5,1.4
Brandon Ingram,194,100,5.28
Cory Joseph,48.5,15,7.32
Marquese Chriss,0,22,2.94
Jeff Green,57.5,28.5,15
Gerald Henderson,1,8,9
Michael Kidd-Gilchrist,29,11,13
Jameer Nelson,0,9,4.54
Tony Allen,10.5,11,5.51
Channing Frye,8,4,7.81
Jodie Meeks,36.5,15,6.54
Kelly Olynyk,56.5,16,3.09
Evan Turner,17,13,16.39
DeMarre Carroll,29.5,8,14.2
Al-Farouq Aminu,33,9,7.68
Nerlens Noel,105,64,4.38
Marreese Speights,80,12,1.4
Troy Daniels,30,10,3.33
Willy Hernangomez,0,55.5,1.44
Caris LeVert,0,28,1.56
Willie Cauley-Stein,0,17,3.55
Ben McLemore,30,17,4.01
Tristan Thompson,368,211,15.33
Vince Carter,0,7,4.26
Alex Len,10.5,6,4.82
Langston Galloway,14.5,2,5.2
Shelvin Mack,6,3,2.43
Sergio Rodriguez,303,60,8
Rajon Rondo,185.5,74,14
Garrett Temple,2,1,8
Matthew Dellavedova,175,30,9.61
Luol Deng,22,13.5,18
Andre Iguodala,300.5,43,11.13
Manu Ginobili,299,66,14
Danny Green,0,15,10
Thabo Sefolosha,28.5,17.5,3.85
Justin Anderson,5,10,1.51
Joe Ingles,86.5,4,2.15
Justin Hamilton,0,8.5,3
Jared Dudley,31,4,10.47
Patrick Patterson,53.5,8,6.05
Bobby Portis,37,73,1.52
Bobby Portis,37,73,1.45
Brandan Wright,0,6,5.71
Alec Burks,10,15,10.15
Dwight Powell,0,10,8.38
Jaylen Brown,0,100,4.74
Michael Carter-Williams,0,5,3.18
Dante Cunningham,0,3,2.98
Kosta Koufos,37,8,8.05
Andre Roberson,10,8,2.18
Marcus Thornton,14,6,0.98
Sam Dekker,139,13,1.72
Amir Johnson,31.5,6,12
Kyle O'Quinn,0,7,3.92
Dante Exum,48.5,28,3.94
Spencer Hawes,12,4,6.35
Trey Lyles,48,12,2.34
Chandler Parsons,59,16,22.12
Troy Williams,5,9,1.58
JaVale McGee,0,32,1.4
Jerian Grant,25,32.5,1.64
Andrew Harrison,0,17,1.31
Domantas Sabonis,0,82,2.44
Quincy Acy,4,4,1.79
Jason Smith,0,23,5
Georgios Papagiannis,7,3,2.2
Delon Wright,11.5,14,1.58
Anthony Morrow,0,5,3.49
Terry Rozier,2,6,1.91
Malcolm Delaney,1,1,2.5
Meyers Leonard,149,31,9.21
Chasson Randle,13.5,7,1.31
Randy Foye,2,4,2.5
Cameron Payne,38.5,21,2.11
Luis Scola,16,60,5.5
Denzel Valentine,23,24,2.09
Anthony Bennett,9,10.5,1.02
Aaron Brooks,1,3,2.7
Trey Burke,41,14,3.39
Joakim Noah,0,87,17
Juan Hernangomez,21,18,1.99
Mario Hezonja,272,207,3.91
Tiago Splitter,8,9,8.55
Kevin Seraphin,4.5,8,1.8
Isaiah Canaan,24.5,8,1.02
Boris Diaw,136.5,13,7
Kris Humphries,67,9,4
Corey Brewer,51.5,15.5,7.61
Reggie Bullock,20,13,2.26
Stanley Johnson,0,19,2.97
Noah Vonleh,23.5,12,2.75
Tyler Ennis,11,6,1.73
Brandon Rush,14,1.5,3.5
Thon Maker,0,39.5,2.57
Jarell Martin,2,4,1.47
Malik Beasley,0,14,1.63
Kris Dunn,165,47,3.87
Jonas Jerebko,7,17,5
Tyus Jones,0,14,1.47
Adreian Payne,0,13,2.02
Rashad Vaughn,2,7,1.81
Tyler Zeller,15,14,8
Jared Sullinger,11,2,5.63
Henry Ellenson,6.5,5,1.7
Paul Pierce,346.5,142,3.53
Briante Weber,29.5,14,1.47
Jarrett Jack,11.5,7,0.06
Andrew Bogut,57,4,0.24
Fred VanVleet,0,17.5,1.31
Kyle Singler,9,6,4.84
Tomas Satoransky,7,8.5,2.87
Andrew Nicholson,5,5,6.09
DeAndre Liggins,2,2,1.58
Mike Scott,2,1,3.33
Greivis Vasquez,10,8.5,4.35
James Young,0,12,1.83
Udonis Haslem,28.5,18,4
Lamar Patterson,4,4,0.25
Nick Collison,10,12,3.75
Ryan Kelly,17,10,1.58
Jordan Mickey,0,3,1.47
Mike Miller,50,14.5,3.5
