positioncol,value,stat
PG,8.379433962,Average Salary
C,8.41375,Average Salary
SF,9.474545455,Average Salary
SG,6.968571429,Average Salary
PF,7.363921569,Average Salary
PG,440.4339623,Average Twitter Favorite Count
C,258.3375,Average Twitter Favorite Count
SF,299.8068182,Average Twitter Favorite Count
SG,87.64285714,Average Twitter Favorite Count
PF,110.3823529,Average Twitter Favorite Count
PG,165.1792453,Average Twitter Retweet Count
C,122.3375,Average Twitter Retweet Count
SF,92.92045455,Average Twitter Retweet Count
SG,40.31632653,Average Twitter Retweet Count
PF,42.82352941,Average Twitter Retweet Count
