Team,Average_Attendance,Total_Team_salary,Total_Twitter_Activity,Wins
Chicago Bulls,21680,84.65,1409.5,41
Dallas Mavericks,19789,59.36,2092,33
Sacramento Kings,17608,35.88,1070,32
Miami Heat,19643,48.26,394,41
Toronto Raptors,19830,52.39,323.5,51
Los Angeles Clippers,19088,80.02,2135,51
Cleveland Cavaliers,20562,102.57,10923,51
Golden State Warriors,19596,88.91,19155.5,67
Oklahoma City Thunder,18203,72.54,3409.5,47
New York Knicks,19774,93.43,6160.5,31
Boston Celtics,18553,92.14,1228,52
Los Angeles Lakers,18949,75.01,1017,26
Portland Trail Blazers,19317,90.63,552,41
San Antonio Spurs,18423,98.37,5218,61
Utah Jazz,19673,77.66,1804.5,51
Orlando Magic,17753,68.41,774,29
New Orleans Pelicans,16173,62.5,542.5,34
Houston Rockets,16973,67.16,1548.5,55
Phoenix Suns,17283,55.4,1619,24
Indiana Pacers,16697,76.29,489.5,42
Memphis Grizzlies,16519,101.78,661,43
Charlotte Hornets,17332,88.06,588,36
Philadelphia 76ers,17330,46.5,10228.5,28
Atlanta Hawks,15958,80.27,333.5,43
Brooklyn Nets,15429,62.75,1315,20
Milwaukee Bucks,15828,81.5,699.5,42
Washington Wizards,17002,70.72,315.5,49
Denver Nuggets,14770,71.15,399.5,40
Minnesota Timberwolves,14809,47.82,1180,31
Detroit Pistons,15979,64.38,164,37
